代码,名称,最新价,涨跌额,涨跌幅,昨收,今开,最高,最低
CES100,中华港股通精选100指数,5813.497,-101.017,-1.708,5914.514,5787.189,5849.847,5767.651
CES120,中华120指数,6952.889,-66.023,-0.941,7018.912,6911.42,6998.625,6900.914
CES280,中华280指数,8392.401,-46.358,-0.549,8438.76,8329.314,8456.936,8297.023
CES300,中华沪深港300指数,5419.691,-58.177,-1.062,5477.869,5392.025,5454.883,5376.974
CESA80,中华A80指数,8105.731,-54.423,-0.667,8160.154,8089.846,8159.985,8049.113
CESG10,中华博彩业指数,3018.747,-5.383,-0.178,3024.13,2998.55,3026.004,2934.956
CESHKM,中华香港内地指数,6891.269,-57.747,-0.831,6949.016,6816.435,6935.743,6811.052
CSCMC,中证内地消费指数,10143.99,-114.963,-1.121,10258.953,10224.25,10272.711,10115.699
CSHK100,中证香港100指数,2354.97,-31.656,-1.326,2386.627,2337.446,2368.878,2331.672
CSHKDIV,中证香港红利港币指数,3838.177,15.058,0.394,3823.12,3779.357,3840.703,3760.506
CSHKLC,中证香港上市可交易内地消费指数,1210.354,-9.34,-0.766,1219.694,1202.472,1218.846,1201.317
CSHKLRE,中证香港上市可交易内地地産指数,346.272,-4.683,-1.334,350.955,347.367,348.511,344.24
CSHKMCS,中证香港中盘精选港币指数,3062.969,-23.919,-0.775,3086.888,3042.483,3083.151,3025.827
CSHKME,中证香港内地股港元指数,3027.05,-25.45,-0.834,3052.499,2992.728,3046.655,2990.485
CSHKPE,中证香港内地民营企业指数,1570.397,-20.927,-1.315,1591.324,1556.24,1582.859,1555.196
CSHKSE,中证香港内地国有企业指数,898.87,0.774,0.086,898.096,885.955,902.217,884.479
CSI300,沪深300指数,4643.596,-26.823,-0.574,4670.419,4622.975,4678.262,4606.638
CSRHK50,中证锐联香港基本面50港币指数,2360.815,-13.707,-0.577,2374.522,2336.708,2368.433,2329.572
GEM,标普香港创业板指数,19.53,-0.34,-1.711,19.87,19.67,19.75,19.42
HKL,标普香港大型股指数,37922.41,-566.098,-1.471,38488.508,37783.15,38176.91,37567.06
HSCCI,恒生香港中资企业指数,4360.7,-13.6,-0.311,4374.3,4316.0,4382.33,4306.15
HSCEI,恒生中国企业指数,9031.38,-61.96,-0.681,9093.34,8922.14,9089.34,8918.12
HSI,恒生指数,26559.951,-325.291,-1.21,26885.242,26354.34,26710.34,26295.03
HSMBI,恒生中国内地银行指数,3989.36,19.58,0.493,3969.78,3945.35,3995.55,3931.74
HSMOGI,恒生中国内地石油及天然气指数,2435.89,33.04,1.375,2402.85,2368.02,2445.99,2348.65
HSMPI,恒生中国内地地产指数,1419.39,-21.18,-1.47,1440.57,1425.92,1429.17,1412.58
HSTECH,恒生科技指数,5346.2,-59.93,-1.109,5406.13,5275.12,5397.32,5275.12
SSE180,上证180指数,10177.374,-51.606,-0.505,10228.98,10121.613,10245.283,10090.111
SSE180GV,上证180公司治理指数,1101.767,-8.49,-0.765,1110.257,1099.352,1108.176,1094.496
SSE380,上证380指数,7133.599,-8.766,-0.123,7142.365,7063.917,7213.659,7045.221
SSE50,上证50指数,3037.86,-21.152,-0.691,3059.012,3027.173,3056.004,3015.626
SSECEQT,上证大宗商品股票指数,4003.665,10.978,0.275,3992.687,3886.95,4042.714,3885.705
SSECOMP,上证综合指数,4065.583,-10.333,-0.254,4075.917,4040.299,4095.03,4029.973
SSEDIV,上证红利指数,3117.538,-10.465,-0.335,3128.003,3103.678,3136.629,3093.21
SSEITOP,上证龙头企业指数,3720.671,-8.812,-0.236,3729.482,3697.476,3747.96,3688.668
SSEMCAP,上证中盘指数,4646.087,-12.648,-0.271,4658.735,4617.485,4675.636,4602.79
SSEMEGA,上证超级大盘指数,2569.349,-6.254,-0.243,2575.603,2546.891,2584.53,2539.696
VHSI,恒指波幅指数,24.01,0.58,2.475,23.43,25.31,25.54,23.83
